run_id,kind,mode,question_id,gold_status,pred_status,valid,confidence,seconds,input_tokens,output_tokens,status_correct,evidence_precision,evidence_recall,evidence_f1,counterevidence_recall,both_correct,insufficient_correct,confident_when_insufficient
Q01_baseline_A,baseline,A,Q01,entailed,entailed,True,1.0,15.248417299999346,14218,140,1,0.0,0.0,0.0,,,,
Q01_baseline_B,baseline,B,Q01,entailed,entailed,True,1.0,5.939139300000534,1409,99,1,1.0,1.0,1.0,,,,
Q01_baseline_C,baseline,C,Q01,entailed,entailed,True,1.0,5.219871699999203,1520,99,1,1.0,1.0,1.0,,,,
Q01_permutation_A,permutation,A,Q01,entailed,insufficient,True,0.0,13.339347999999518,14218,73,0,0.0,0.0,0.0,,,,
Q01_permutation_B,permutation,B,Q01,entailed,entailed,True,1.0,5.277528799999345,1409,99,1,1.0,1.0,1.0,,,,
Q01_permutation_C,permutation,C,Q01,entailed,entailed,True,1.0,4.746132000000216,1520,99,1,1.0,1.0,1.0,,,,
Q01_contradiction_A,contradiction,A,Q01,both,both,True,0.5,8.829508700000588,14452,122,1,1.0,1.0,1.0,1.0,1.0,,
Q01_contradiction_B,contradiction,B,Q01,both,both,True,0.5,6.27405699999963,1431,119,1,1.0,1.0,1.0,1.0,1.0,,
Q01_contradiction_C,contradiction,C,Q01,both,both,True,0.5,6.744961600000352,1526,171,1,1.0,1.0,1.0,1.0,1.0,,
Q02_baseline_A,baseline,A,Q02,entailed,entailed,True,1.0,14.411574100000507,14223,109,1,1.0,1.0,1.0,,,,
Q02_baseline_B,baseline,B,Q02,entailed,entailed,True,1.0,5.904852200000278,1414,99,1,1.0,1.0,1.0,,,,
Q02_baseline_C,baseline,C,Q02,entailed,entailed,True,1.0,5.363785599999574,1525,104,1,1.0,1.0,1.0,,,,
Q02_permutation_A,permutation,A,Q02,entailed,contradicted,True,1.0,15.997493199999553,14223,159,0,1.0,1.0,1.0,,,,
Q02_permutation_B,permutation,B,Q02,entailed,entailed,True,1.0,5.492029900000489,1414,99,1,1.0,1.0,1.0,,,,
Q02_permutation_C,permutation,C,Q02,entailed,entailed,True,1.0,4.870210299999599,1525,104,1,1.0,1.0,1.0,,,,
Q02_contradiction_A,contradiction,A,Q02,both,both,True,1.0,11.122760199999902,14424,200,1,1.0,1.0,1.0,1.0,1.0,,
Q02_contradiction_B,contradiction,B,Q02,both,both,True,0.5,6.382970800000294,1420,128,1,1.0,1.0,1.0,1.0,1.0,,
Q02_contradiction_C,contradiction,C,Q02,both,both,True,1.0,5.231335000000399,1515,110,1,1.0,1.0,1.0,1.0,1.0,,
Q03_baseline_A,baseline,A,Q03,contradicted,both,True,0.85,18.561195500000395,14222,247,0,0.3333333333333333,0.5,0.4,,,,
Q03_baseline_B,baseline,B,Q03,contradicted,entailed,True,1.0,5.835436999999729,1398,100,0,1.0,0.5,0.6666666666666666,,,,
Q03_baseline_C,baseline,C,Q03,contradicted,insufficient,True,0.0,4.790336500000194,1493,83,0,0.0,0.0,0.0,,,,
Q03_permutation_A,permutation,A,Q03,contradicted,insufficient,True,0.0,14.076076500000454,14222,97,0,0.0,0.0,0.0,,,,
Q03_permutation_B,permutation,B,Q03,contradicted,entailed,True,1.0,5.314773699999932,1398,100,0,1.0,0.5,0.6666666666666666,,,,
Q03_permutation_C,permutation,C,Q03,contradicted,insufficient,True,0.0,4.381551800000125,1493,84,0,0.0,0.0,0.0,,,,
Q03_deletion_A,deletion,A,Q03,insufficient,both,True,0.85,18.305347299999994,14139,242,0,0.3333333333333333,1.0,0.5,,,0.0,1.0
Q03_deletion_B,deletion,B,Q03,insufficient,insufficient,True,0.0,6.658427500000471,1399,133,1,0.0,0.0,0.0,,,1.0,0.0
Q03_deletion_C,deletion,C,Q03,insufficient,both,True,0.6,5.821416300000237,1494,126,0,0.0,0.0,0.0,,,0.0,0.0
Q03_contradiction_A,contradiction,A,Q03,both,both,True,0.85,16.729644899999585,14430,386,1,0.5,0.5,0.5,0.0,1.0,,
Q03_contradiction_B,contradiction,B,Q03,both,both,True,1.0,6.341104799999812,1405,126,1,1.0,0.5,0.6666666666666666,0.5,1.0,,
Q03_contradiction_C,contradiction,C,Q03,both,both,True,0.5,5.181840799999918,1500,101,1,0.0,0.0,0.0,0.0,1.0,,
Q04_baseline_A,baseline,A,Q04,entailed,entailed,True,1.0,14.404623000000356,14225,109,1,1.0,0.5,0.6666666666666666,,,,
Q04_baseline_B,baseline,B,Q04,entailed,entailed,True,1.0,5.592011900000216,1406,89,1,1.0,0.5,0.6666666666666666,,,,
Q04_baseline_C,baseline,C,Q04,entailed,entailed,True,1.0,5.3145300999995015,1501,102,1,1.0,0.5,0.6666666666666666,,,,
Q04_permutation_A,permutation,A,Q04,entailed,both,True,0.7,15.252677000000403,14225,136,0,1.0,0.5,0.6666666666666666,,,,
Q04_permutation_B,permutation,B,Q04,entailed,entailed,True,1.0,5.126441000000341,1406,89,1,1.0,0.5,0.6666666666666666,,,,
Q04_permutation_C,permutation,C,Q04,entailed,entailed,True,1.0,4.877285900000061,1501,102,1,1.0,0.5,0.6666666666666666,,,,
Q04_deletion_A,deletion,A,Q04,insufficient,insufficient,True,0.0,9.348223599999983,14140,73,1,0.0,0.0,0.0,,,1.0,0.0
Q04_deletion_B,deletion,B,Q04,insufficient,both,True,0.6,7.283463099999608,1411,162,0,0.0,0.0,0.0,,,0.0,0.0
Q04_deletion_C,deletion,C,Q04,insufficient,both,True,0.8,6.45504450000044,1490,151,0,0.0,0.0,0.0,,,0.0,1.0
Q04_contradiction_A,contradiction,A,Q04,both,both,True,1.0,13.607289900000069,14453,201,1,1.0,0.5,0.6666666666666666,0.5,1.0,,
Q04_contradiction_B,contradiction,B,Q04,both,both,True,0.5,6.388779599999907,1427,121,1,1.0,0.5,0.6666666666666666,0.5,1.0,,
Q04_contradiction_C,contradiction,C,Q04,both,entailed,True,1.0,5.163015000000087,1522,102,0,1.0,0.5,0.6666666666666666,0.0,0.0,,
Q05_baseline_A,baseline,A,Q05,contradicted,contradicted,True,1.0,14.111531000000468,14221,96,1,0.0,0.0,0.0,,,,
Q05_baseline_B,baseline,B,Q05,contradicted,both,True,0.8,6.786988200000451,1411,144,0,1.0,0.5,0.6666666666666666,,,,
Q05_baseline_C,baseline,C,Q05,contradicted,entailed,True,1.0,5.684256399999867,1522,117,0,1.0,1.0,1.0,,,,
Q05_permutation_A,permutation,A,Q05,contradicted,insufficient,True,0.0,13.856168499999512,14221,86,0,0.0,0.0,0.0,,,,
Q05_permutation_B,permutation,B,Q05,contradicted,both,True,0.8,6.349542299999484,1411,144,0,1.0,0.5,0.6666666666666666,,,,
Q05_permutation_C,permutation,C,Q05,contradicted,entailed,True,1.0,5.137521599999673,1522,117,0,1.0,1.0,1.0,,,,
Q05_deletion_A,deletion,A,Q05,insufficient,insufficient,True,0.0,13.468522600000142,14138,79,1,0.0,0.0,0.0,,,1.0,0.0
Q05_deletion_B,deletion,B,Q05,insufficient,both,True,0.8,8.108855300000869,1413,189,0,1.0,1.0,1.0,,,0.0,1.0
Q05_deletion_C,deletion,C,Q05,insufficient,entailed,True,1.0,5.687145500000042,1524,121,0,1.0,1.0,1.0,,,0.0,1.0
Q05_contradiction_A,contradiction,A,Q05,both,both,True,1.0,10.057158799999343,14449,165,1,0.0,0.0,0.0,0.5,1.0,,
Q05_contradiction_B,contradiction,B,Q05,both,both,True,0.5,6.61248280000018,1425,137,1,0.0,0.0,0.0,0.0,1.0,,
Q05_contradiction_C,contradiction,C,Q05,both,both,True,0.8,6.246178399999735,1536,145,1,0.5,0.5,0.5,0.0,1.0,,
Q06_baseline_A,baseline,A,Q06,entailed,contradicted,True,1.0,17.58237580000059,14222,213,0,1.0,0.5,0.6666666666666666,,,,
Q06_baseline_B,baseline,B,Q06,entailed,both,True,0.5,6.8334085999995295,1395,140,0,1.0,0.5,0.6666666666666666,,,,
Q06_baseline_C,baseline,C,Q06,entailed,both,True,0.5,6.872813400000268,1490,168,0,1.0,0.5,0.6666666666666666,,,,
Q06_permutation_A,permutation,A,Q06,entailed,both,True,0.8,16.98452449999968,14222,196,0,1.0,0.5,0.6666666666666666,,,,
Q06_permutation_B,permutation,B,Q06,entailed,both,True,0.5,6.304892399999517,1395,140,0,1.0,0.5,0.6666666666666666,,,,
Q06_permutation_C,permutation,C,Q06,entailed,both,True,0.5,6.390887599999587,1490,168,0,1.0,0.5,0.6666666666666666,,,,
Q06_deletion_A,deletion,A,Q06,insufficient,insufficient,True,0.0,13.814726300000075,14139,94,1,0.0,0.0,0.0,,,1.0,0.0
Q06_deletion_B,deletion,B,Q06,insufficient,both,True,0.8,7.059012199999415,1403,147,0,0.5,1.0,0.6666666666666666,,,0.0,1.0
Q06_deletion_C,deletion,C,Q06,insufficient,both,True,0.5,6.185501299999487,1514,144,0,0.5,1.0,0.6666666666666666,,,0.0,0.0
Q06_contradiction_A,contradiction,A,Q06,both,both,True,1.0,11.376883000000817,14448,210,1,1.0,0.5,0.6666666666666666,0.5,1.0,,
Q06_contradiction_B,contradiction,B,Q06,both,both,True,0.5,7.121772700000292,1409,159,1,1.0,0.5,0.6666666666666666,0.5,1.0,,
Q06_contradiction_C,contradiction,C,Q06,both,both,True,1.0,6.651014300000497,1520,164,1,1.0,0.5,0.6666666666666666,0.5,1.0,,
Q07_baseline_A,baseline,A,Q07,entailed,both,True,0.85,15.681948600000396,14224,152,0,1.0,0.75,0.8571428571428571,,,,
Q07_baseline_B,baseline,B,Q07,entailed,both,True,0.8,7.242271199999777,1404,159,0,0.5,0.25,0.3333333333333333,,,,
Q07_baseline_C,baseline,C,Q07,entailed,both,True,0.8,8.029677900000024,1499,214,0,1.0,0.75,0.8571428571428571,,,,
Q07_permutation_A,permutation,A,Q07,entailed,insufficient,True,0.0,13.656874700000117,14224,83,0,0.0,0.0,0.0,,,,
Q07_permutation_B,permutation,B,Q07,entailed,both,True,0.8,6.646594599999844,1404,151,0,0.5,0.25,0.3333333333333333,,,,
Q07_permutation_C,permutation,C,Q07,entailed,both,True,0.8,6.921174699999938,1499,189,0,1.0,0.75,0.8571428571428571,,,,
Q07_contradiction_A,contradiction,A,Q07,both,both,True,0.8,10.899806999999782,14440,195,1,1.0,0.75,0.8571428571428571,0.3333333333333333,1.0,,
Q07_contradiction_B,contradiction,B,Q07,both,both,True,0.8,6.49456790000022,1404,151,1,0.5,0.25,0.3333333333333333,0.0,1.0,,
Q07_contradiction_C,contradiction,C,Q07,both,both,True,0.8,6.891857599999639,1499,189,1,1.0,0.75,0.8571428571428571,0.0,1.0,,
Q08_baseline_A,baseline,A,Q08,contradicted,both,True,0.95,16.20797289999973,14220,166,0,0.6666666666666666,0.5,0.5714285714285715,,,,
Q08_baseline_B,baseline,B,Q08,contradicted,both,True,0.8,8.68511209999997,1411,213,0,0.25,0.25,0.25,,,,
Q08_baseline_C,baseline,C,Q08,contradicted,both,True,0.7,7.836140799999157,1522,206,0,0.6666666666666666,0.5,0.5714285714285715,,,,
Q08_permutation_A,permutation,A,Q08,contradicted,both,True,0.5,15.592727600000217,14220,149,0,0.0,0.0,0.0,,,,
Q08_permutation_B,permutation,B,Q08,contradicted,both,True,0.8,7.456396399999903,1411,185,0,0.25,0.25,0.25,,,,
Q08_permutation_C,permutation,C,Q08,contradicted,both,True,0.7,7.719839299999876,1522,222,0,0.6666666666666666,0.5,0.5714285714285715,,,,
Q08_contradiction_A,contradiction,A,Q08,both,both,True,0.5,12.172970000000532,14438,235,1,0.0,0.0,0.0,0.0,1.0,,
Q08_contradiction_B,contradiction,B,Q08,both,both,True,0.8,7.376754099999744,1411,185,1,0.0,0.0,0.0,0.5,1.0,,
Q08_contradiction_C,contradiction,C,Q08,both,both,True,0.7,7.768314299999474,1522,222,1,0.0,0.0,0.0,0.0,1.0,,
Q09_baseline_A,baseline,A,Q09,both,both,True,0.85,16.41928740000003,14226,174,1,1.0,1.0,1.0,1.0,1.0,,
Q09_baseline_B,baseline,B,Q09,both,both,True,0.5,6.5226339000000735,1426,131,1,1.0,1.0,1.0,1.0,1.0,,
Q09_baseline_C,baseline,C,Q09,both,both,True,0.5,6.179085699999632,1505,140,1,1.0,1.0,1.0,1.0,1.0,,
Q09_permutation_A,permutation,A,Q09,both,both,True,0.85,14.878251699999964,14226,123,1,1.0,1.0,1.0,1.0,1.0,,
Q09_permutation_B,permutation,B,Q09,both,both,True,0.5,6.162167299999965,1426,131,1,1.0,1.0,1.0,1.0,1.0,,
Q09_permutation_C,permutation,C,Q09,both,both,True,0.5,5.6758434000003035,1505,140,1,1.0,1.0,1.0,1.0,1.0,,
Q09_contradiction_A,contradiction,A,Q09,both,both,True,0.5,10.606205099999897,14427,186,1,1.0,1.0,1.0,1.0,1.0,,
Q09_contradiction_B,contradiction,B,Q09,both,both,True,0.5,5.756873799999994,1429,103,1,1.0,1.0,1.0,1.0,1.0,,
Q09_contradiction_C,contradiction,C,Q09,both,both,True,0.6,5.291314300000522,1492,112,1,0.0,0.0,0.0,1.0,1.0,,
Q10_baseline_A,baseline,A,Q10,both,insufficient,True,0.0,14.105694400000175,14225,100,0,0.0,0.0,0.0,0.0,0.0,,
Q10_baseline_B,baseline,B,Q10,both,both,True,0.5,5.865452000000005,1434,103,1,1.0,1.0,1.0,1.0,1.0,,
Q10_baseline_C,baseline,C,Q10,both,both,True,0.5,6.659582299999784,1529,157,1,1.0,1.0,1.0,1.0,1.0,,
Q10_permutation_A,permutation,A,Q10,both,both,True,0.5,15.188046000000213,14225,135,1,1.0,1.0,1.0,1.0,1.0,,
Q10_permutation_B,permutation,B,Q10,both,both,True,0.5,5.41399199999978,1434,103,1,1.0,1.0,1.0,1.0,1.0,,
Q10_permutation_C,permutation,C,Q10,both,both,True,0.5,6.137572299999192,1529,157,1,1.0,1.0,1.0,1.0,1.0,,
Q10_contradiction_A,contradiction,A,Q10,both,both,True,0.5,10.070498799999768,14424,168,1,1.0,1.0,1.0,1.0,1.0,,
Q10_contradiction_B,contradiction,B,Q10,both,both,True,0.5,6.473443700000644,1431,132,1,1.0,1.0,1.0,1.0,1.0,,
